date,value,country,outcome,phase
2019-06-01,0.6,ES,CP00,1
2019-06-01,0.7,PT,CP00,1
2019-06-01,-3.3,ES,NRG,1
2019-06-01,-2.6,PT,NRG,1
2019-06-01,1.1,ES,TOT_X_NRG,1
2019-06-01,1,PT,TOT_X_NRG,1
2019-07-01,0.6,ES,CP00,1
2019-07-01,-0.6,PT,CP00,1
2019-07-01,-3.1,ES,NRG,1
2019-07-01,-2.4,PT,NRG,1
2019-07-01,1.1,ES,TOT_X_NRG,1
2019-07-01,-0.5,PT,TOT_X_NRG,1
2019-08-01,0.4,ES,CP00,1
2019-08-01,-0.1,PT,CP00,1
2019-08-01,-5.2,ES,NRG,1
2019-08-01,-3.1,PT,NRG,1
2019-08-01,1.1,ES,TOT_X_NRG,1
2019-08-01,0.2,PT,TOT_X_NRG,1
2019-09-01,0.1,ES,CP00,1
2019-09-01,-0.2,PT,CP00,1
2019-09-01,-7.3,ES,NRG,1
2019-09-01,-3.4,PT,NRG,1
2019-09-01,1.1,ES,TOT_X_NRG,1
2019-09-01,0.1,PT,TOT_X_NRG,1
2019-10-01,0.1,ES,CP00,1
2019-10-01,-0.1,PT,CP00,1
2019-10-01,-7.2,ES,NRG,1
2019-10-01,-4.1,PT,NRG,1
2019-10-01,1.1,ES,TOT_X_NRG,1
2019-10-01,0.3,PT,TOT_X_NRG,1
2019-11-01,0.4,ES,CP00,1
2019-11-01,0.3,PT,CP00,1
2019-11-01,-5.9,ES,NRG,1
2019-11-01,-2.8,PT,NRG,1
2019-11-01,1.2,ES,TOT_X_NRG,1
2019-11-01,0.5,PT,TOT_X_NRG,1
2019-12-01,0.8,ES,CP00,1
2019-12-01,0.4,PT,CP00,1
2019-12-01,-2.8,ES,NRG,1
2019-12-01,0.5,PT,NRG,1
2019-12-01,1.2,ES,TOT_X_NRG,1
2019-12-01,0.4,PT,TOT_X_NRG,1
2020-01-01,1.1,ES,CP00,1
2020-01-01,0.9,PT,CP00,1
2020-01-01,-0.1,ES,NRG,1
2020-01-01,3.9,PT,NRG,1
2020-01-01,1.3,ES,TOT_X_NRG,1
2020-01-01,0.6,PT,TOT_X_NRG,1
2020-02-01,0.9,ES,CP00,1
2020-02-01,0.6,PT,CP00,1
2020-02-01,-3.3,ES,NRG,1
2020-02-01,1.6,PT,NRG,1
2020-02-01,1.4,ES,TOT_X_NRG,1
2020-02-01,0.5,PT,TOT_X_NRG,1
2020-03-01,0.1,ES,CP00,1
2020-03-01,0.2,PT,CP00,1
2020-03-01,-9.7,ES,NRG,1
2020-03-01,-3.2,PT,NRG,1
2020-03-01,1.4,ES,TOT_X_NRG,1
2020-03-01,0.5,PT,TOT_X_NRG,1
2020-04-01,-0.7,ES,CP00,1
2020-04-01,-0.2,PT,CP00,1
2020-04-01,-17.1,ES,NRG,1
2020-04-01,-10.5,PT,NRG,1
2020-04-01,1.5,ES,TOT_X_NRG,1
2020-04-01,0.6,PT,TOT_X_NRG,1
2020-05-01,-0.9,ES,CP00,1
2020-05-01,-0.7,PT,CP00,1
2020-05-01,-17.7,ES,NRG,1
2020-05-01,-12.1,PT,NRG,1
2020-05-01,1.4,ES,TOT_X_NRG,1
2020-05-01,0.2,PT,TOT_X_NRG,1
2020-06-01,-0.3,ES,CP00,1
2020-06-01,0.1,PT,CP00,1
2020-06-01,-12,ES,NRG,1
2020-06-01,-8.4,PT,NRG,1
2020-06-01,1.2,ES,TOT_X_NRG,1
2020-06-01,0.8,PT,TOT_X_NRG,1
2020-07-01,-0.7,ES,CP00,1
2020-07-01,-0.2,PT,CP00,1
2020-07-01,-10.8,ES,NRG,1
2020-07-01,-6.8,PT,NRG,1
2020-07-01,0.6,ES,TOT_X_NRG,1
2020-07-01,0.3,PT,TOT_X_NRG,1
2020-08-01,-0.6,ES,CP00,1
2020-08-01,-0.3,PT,CP00,1
